Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
równoleg³y,Zaszczepcie siê.,"Zaszczepieni mo¿emy chorowaæ, jednak choroba ma wtedy ³agodniejszy przebieg.",Œmiertelnoœæ wœród zaszczepionych jest zdecydowanie ni¿sza.,S¹ oni [zaszczepieni] tak¿e rzadziej hospitalizowani.,"Pomyœlcie o swoich bliskich, bo to oni bêd¹ Was op³akiwaæ: o dzieciach, rodzicach, ma³¿onkach, narzeczonych, kole¿ankach i kolegach z pracy czy o gronie przyjació³.",,,,
szeregowy,Szczepmy siê dla siebie ale te¿ i z myœl¹ o innych.,tylko w ten sposób mamy szansê unikn¹æ kolejnych fal zachorowañ na covid.,"To bardzo wa¿ne w obecnej sytuacji w ochronie zdrowia, która jest dramatycznie z³a szczególnie ze wzglêdu na braki personelu.",,,,,,
równoleg³y,"Drogie osoby, pamiêtajcie o zaszczepieniu siê!",Liczba ofiar w Polsce na covid 19 przekroczy³a ju¿ 100 tys.,To nic nas nie kosztuje.,"Mo¿emy ocaliæ nie tylko swoje ¿ycie, ale równie¿ ¿ycie naszych bliskich. ",,,,,
równoleg³y, Jeœli wci¹¿ nie zaszczepi³aœ/nie zaszczepi³eœ siê przeciwko COVID – zrób to jak najszybciej.,zaka¿eñ przybywa,coraz wiêcej osób jest hospitalizowanych,"Szczepienie nie gwarantuje nieœmiertelnoœci, ale zmniejsza ryzyko zaka¿enia",w przypadku zachorowania przebieg choroby jest zdecydowanie l¿ejszy,,,,
równoleg³y,"Zaszczep siê Marysiu, chroñ swe ¿ycie m³ode",COVID zbiera ¿niwo,[COVID] nie pyta o zgodê,,,,,,
równoleg³y,Zaszczep siê i wspólnie zatrzymajmy kolejn¹ falê,"Wci¹¿ za ma³o z nas siê zaszczepi³o,","a ponad 99% zgonów na COVID-19, to osoby niezaszczepione",,,,,,
równoleg³y,Szczepimy siê,Codziennie na œwiecie z powodu zaka¿enia C-19 umieraj¹ tysi¹ce ludzi. ,Tylko szczepienia chroni¹ nas przed ciê¿kim przebiegiem choroby i zgonami ,,,,,,
równoleg³y,Szczepimy siê,Szczepienie przeciw koronawirusowi to najskuteczniejsza broñ w walce z ciê¿kim przebiegiem choroby oraz œmierci¹.,Pozwala unikn¹æ zachorowania na COVID-19 lub ³agodnie przejœæ przez zaka¿enie.,"Ryzyko zgonu z powodu COVID19, wœród osób niezaszczepionych w stosunku do zaszczepionych, jest blisko 60 razy wiêksze",,,,,
szeregowy,zaszczep siê,Tylko w pierwszym tygodniu grudnia w jednym z ma³opolskich szpitali zmar³o 25 pacjentów z COVID-19.,20 z nich nie by³o zaszczepionych.,"Niestety bardzo wiele osób niezaszczepionych przegrywa walkê z COVID-19, a przecie¿ nie musi tak byæ",,,,,
szeregowy,zaszczep siê,G³ówn¹ rol¹ szczepieñ jest zmniejszenie ryzyka hospitalizacji i zgonu z powodu COVID-19.,Osoby niezaszczepione by³y 10x czêœciej hospitalizowane z powodu COVID-19 ni¿ osoby zaszczepione.,,,,,,
równoleg³y,szczepimy siê,Szczepienie zwiêksza bezpieczeñstwo moje i innych.,"Osoby zaszepione nawet jeœli choruj¹, przechodza COVID-10 znacznie ³agoniej.",I mniej zara¿aj¹.,,,,,
równoleg³y,szczpimy siê,szczepienie (...) chroni przed ciê¿kim przebiegiem,"szczepienie pozostawia zdrowym domownikom pewien margines na normalne funkcjonowanie - ujemna, szczepiona osoba mo¿e nam nadal robiæ zakupy","chroniê w ten sposób moich pacjentów, moich kolegów w pracy, przyajció³, nieznajomych, których zwykle spotykam na si³owni, w sklepie, u fryzjera itd. - tam mo¿e byæ ktoœ, komu grozi powa¿ny, ciê¿ki przebieg infekcji koronawirusowej",,,,,
szeregowy,zaszczep siê,"Szczepi¹c siê, zyskasz wewnêtrzny spokój",wynikaj¹cy z bezpieczeñstwa w³asnego i najbli¿szych.,,,,,,
szeregowy,"szczepi¹c siê, nie bêdziesz laboratorium dla mutacji","Im wiêcej nieszczepionych osób, tym wiêcej mo¿liwoœci rozmna¿ania siê wirusa ",i wy¿sze ryzyko powstania wyj¹tkowo niebezpiecznego wariantu.,,,,,,
równoleg³y,zalecamy szczepienie wszystkim kobietom w ci¹¿y i karmi¹cym piersi¹," Jest to szczepienie bezpieczne, a dzia³ania niepo¿¹dane, które mogê po nim wystêpowaæ, nie stanowi¹ zagro¿enia dla ci¹¿y, p³odu czy karmienia piersi¹.",bn  ,,,,,,
równoleg³y,Szczepienia s¹ skutecznym sposobem walki z pandemi¹ COVID-19.,"Szczepi¹c najm³odszych, dbamy o bezpieczeñstwo starszych i osób, które zmagaj¹ siê z chorobami przewlek³ymi","Jednoczeœnie – troszczymy siê o nasze dzieci, które równie¿ mog¹ przechodziæ koronawirusa w sposób ciê¿ki.",,,,,,
równoleg³y,Szczepmy siê,Szczepienia przeciw COVID-19 uratuj¹ ¿ycie bardzo wielu ludzi!,Szczepienie przeciw COVID-19 z³agodzi przebieg ewentualnej infekcji. ,Szczepionki s¹ skuteczn¹ broni¹ przeciw chorobom zakaŸnym!,,,,,
równoleg³y,"Ka¿dy powinien siê zaszczepiæ, równie¿ osoba, która przechorowa³a COVID-19 (tzw. ozdrowieniec)",Odpornoœæ po szczepieniu jest silniejsza i d³u¿ej siê utrzymuje w porównaniu do odpornoœci po przechorowaniu COVID-19.,Mo¿liwe s¹ ponowne zachorowania na COVID-19 (nawet jeœli ju¿ siê zaszczepiliœmy).,"U istotnej grupy ozdrowieñców naturalna odpornoœæ jest s³aba, a szczepienie mo¿e skutecznie zwiêkszyæ i poprawiæ ochronê przed ponownym zachorowaniem.",Szczepionka uratuje nasz¹ gospodarkê!,,,,
równoleg³y,"Warto siê zaszczepiæ, bo","Szczepionka na Covid-19 jest bezpieczna, nie jest to eksperyment medyczny.","Szczepionki przeciwko COVID-19 s¹ wiêc nowymi, lecz dobrze przebadanymi lekami. Badania  nad  lekami  nie  opieraj¹  siê  o  prognozowanie  i  przypuszczenia, a o twarde dowody  z  badañ.",,,,,,
szeregowy,"Szczepmy siê, to ³agodzi przebieg chroby i ewentualne powik³ania.","Szczepimy siê, ¿eby nie chorowaæ",jednak zdarzaj¹ siê przypadki zachorowañ mimo zaszczepienia,"Na ogó³ w takiej sytuacji przebieg zachorowania jest ³agodniejszy i co bardzo wa¿ne, nie wystêpuj¹ powik³ania.",,,,,
szeregowy,Zaszczep siê przeciwko Covid-19,"W przypadku wiêkszoœci osób, które na ni¹ choruj¹, przebieg choroby jest lekki",jednak u czêœci chorych przebieg choroby jest powa¿ny,W najgorszym wypadku choroba ta mo¿e doprowadziæ do œmierci.,,,,,
równoleg³y,Zaszczep siê w trosce o zdrowie swoje i najbli¿szych.,Szczepionka jest ogromn¹ szans¹ na uodpornienie spo³eczeñstwa na zaka¿enie oraz zdobycie kontroli nad transmisj¹ wirusa SARS-CoV-2.,"Wdro¿enie masowych szczepieñ, przy wysokim procencie osób zaszczepionych, pozwoli na sta³e powróciæ do pe³nej funkcjonalnoœci szkó³, sklepów, obiektów sportowych i kulturalnych.",,,,,,
równoleg³y,Szczepimy siê,Szczepionka przeciwko Covid-19 jest bezp³atna i dobrowolna.,Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zara¿eniem ró¿nymi chorobami. Ludzkoœæ z powodzeniem korzysta z tej zdobyczy cywilizacji od kilkuset lat.,,,,,,
równoleg³y,Zaszczep siê i wspólnie pokonajmy COVID-19!,"Decyduj¹c siê na szczepienie, mo¿esz ochroniæ nie tylko siebie, ale tak¿e swoich najbli¿szych oraz osoby, które nie mog¹ tego zrobiæ. ","Kiedy staniemy na wysokoœci zadania i zaszczepi siê 80% populacji, osi¹gniemy odpornoœæ stadn¹, która pozwoli nam pokonaæ koronawirusa i wróciæ do ¿ycia sprzed pandemii.",,,,,,
szeregowy,Ja bym takiej osobie (która przechorowa³a Covid-19 4 miesi¹ce wczeœniej) rekomendowa³ zaszczepienie siê.,"Oznaczanie przeciwcia³ to jest dobra metoda na wydawanie pieniêdzy, jak siê nie ma na co wydawaæ.",¯adne wskazania medyczne dzisiaj nie kieruj¹ nas do przeciwcia³.,"Tylko dla w³asnej zachcianki mo¿na sobie coœ tam oznaczyæ, ale nic z tego nie wynika tj. nie ma to znaczenia dla naszej diagnozy, kalendarza szczepieñ czy dla kwalifikacji do szczepienia.  ",,,,,
szeregowy,"Wybierz m¹drze, zaszczep sie.",W historii rozwoju medycyny szczepienia ochronne s¹ jednym z najwiêkszych osi¹gniêæ,"Szczepionki to odkrycie, które uratowa³o ¿ycie milionom ludzi","Historia pokazuje, ¿e szczepionki przeciw Covid mog¹ wywrzeæ podobny wp³yw na ansze ¿ycie.",,,,,
równoleg³y," Nie mo¿na mówiæ o zwi¹zku przyczynowo-skutkowym, pomiêdzy zaszczepieniem siê Astr¹ Zenec¹, a wyst¹pieniem zatoru p³uc. Jest to jedynie zwi¹zek czasowy, dlatego nie bójmy siê i szczepmy siê. "," Ka¿dy medyk wie, ¿e zakrzepica mo¿e wyst¹piæ spontanicznie z czêstoœci¹ 3/4 przypadki na milion.", W przypadku szczepienia Astr¹ Zenec¹ zaobserwowano 30 przypadków na 17 milionów zaszczepionych pacjentów w Europie.,,,,,,
równoleg³y,"Wybierz m¹drze, zaszczep sie.",Codziennie na œwiecie z powodu zaka¿enia C-19 umieraj¹ tysi¹ce ludzi.,Tylko szczepienia chroni¹  nas przed ciê¿kim przebiegiem choroby i zgonami.,,,,,,
równoleg³y,Warto siê zaszczepiæ.,Skuteczne jest wyhamowanie choroby ju¿ po 1 dawce.,Ryzko ewentualnych komplikacji jest znacz¹co mniejsze od mo¿liwoœci œmierci wskutek COVID-19 lub powa¿nych powik³añ po zaka¿eniu SARS-CoV-2.,"Dziêki szeczepieniom uda³o siê nam wyeliminowaæ inne choroby jak np. ró¿yczka, odra","Powinniœmy ufaæ nauce, nie teoriom spiskowym",,,,
szeregowy,Zachêcam wszystkich do szczepienia.,Pandemia przybiera na sile.,Szczepienia to nasza jedyna broñ do walki z pandemi¹.,,,,,,
równoleg³y,Warto siê zaszczepiæ.,"W poradni >99% pts to osoby z powik³aniami po COVID-19, tylko <1% po szczepieniu","W szpitalu ciê¿ki COVID i zgony to osoby po COVID, a nie po szczepieniu.","Szkoda ¿ycia, mamy tylko jedno.",,,,,
równoleg³y,Warto siê zaszczepiæ.,Szczepienie przeciwko koronawirusowi otwiera dostêp do legalnej aborcji w Austrii,szczepienie przeciwko koronawirusowi otwiera dostêp do anonimowego porodu w Austrii,,,,,,
równoleg³y,Warto siê zaszczepiæ,"Jeœli zaszczepi siê P/P teraz to zwiêkszy P/P swoj¹ odpornoœæ, a tym samym zmniejszy ryzyko zachorowania innych",Dziêki szczepionkom uda³o siê wyeliminowaæ lub znacznie ograniczyæ wiele chorób,"Dziêki skutecznej szczepionce zdolnoœæ koronawirusa do zaka¿enia kolejnych osób mo¿e zostaæ wyeliminowana, skutecznie go neutralizuj¹c",szczepionki s¹ najbardziej skutecznym rozwi¹zaniem ograniczaj¹cym ryzyko transmisji kolejnych wariantów wirusa SARS-CoV-2,Dotychczas zgromadzone dane pokazuj¹ ¿e ryzyko jest znacznie mniejsze ni¿ korzyœci p³yn¹ce z przyjêcia szczepionki.,,,
szeregowy,Zaszczep siê,Szczepienie minimalizuje ryzyko hospitalizacji i zgonu z powodu COVID-19,Chroñ siebie i innych,,,,,,
szeregowy,zaszczep siê,Choroba COVID-19 mo¿e byæ przyczyn¹ groŸnych powik³añ,Nie testuj swojego zdrowia,,,,,,
równoleg³y,zaszczep siê,Ochrona przed reinfekcj¹ wywo³an¹ wariantem Omicron w przypadku odpornoœci wytworzonej po wczeœniejszym zaka¿eniu mo¿e wynosiæ zaledwie ok. 19%,,,,,,,
szeregowy,Zaszczep siê,Tylko w pierwszym tygodniu grudnia zmar³o 25 pacjentów z COVID-19.,20 z nich nie by³o zaszczepionych,A szczepionka jest wci¹¿ na wyci¹gniêcie rêki,,,,,
szeregowy,Zaszczep siê na okres Bo¿ego Narodzenia,Dla wielu rodzin te Œwiêta mog¹ byæ dramatyczne.,"Ich bliscy byæ mo¿e s¹ w szpitalu, le¿¹ pod respiratorem. ","¯eby prze¿ywaæ spokojnie Œwiêta, musimy byæ odpowiedzialni.","Proszê wszystkich, ¿eby zwrócili uwagê na bezpieczeñstwo swoje i najbli¿szych",,,,
równoleg³y,Zaszczep siê w majówkê,"Szczepienia przeciw COVID-19 to nadzieja na szybki powrót do normalnoœci, za którym wszyscy têsknimy","jeœli masz ju¿ wystawione e-skierowanie (e-skierowanie wystawiane jest ka¿dej uprawnionej osobie, zgodnie z harmonogramem zapisów), zaszczep siê przeciw COVID-19 w majówkê!","Wystarczy przyjœæ i zaczekaæ na swoj¹ kolej – bez wczeœniejszego zapisywania siê na konkretny termin, czy godzinê.","równie¿ i w tym punkcie obecna bêdzie kadra medyczna, która zajmie siê pacjentami zgodnie ze wszystkimi obowi¹zuj¹cymi standardami i procedurami.",,,,
szeregowy,Zaszczep siê," z rosn¹cym niepokojem patrzymy na miejsca, gdzie procent wyszczepienia wynosi poni¿ej 50 proc., niekiedy niewiele przekraczaj¹c 40 proc.",Sytuacja tych powiatów w czasie nastêpnego wzrostu zaka¿eñ mo¿e byæ naprawdê trudna.,,,,,,
szeregowy,Zaszczep siê,Niedotlenienie i zapalenie p³uc wystêpuj¹ u dzieci czêœciej po COVID-19 ni¿ po grypie sezonowej,,,,,,,
szeregowy,"Wybierz m¹drze, zaszczep siê.",Osoby niezaszczepione by³y 10 razy czêœciej hospitalizowane z powodu COVID-19 ni¿ osoby zaszczepione,,,,,,,
szeregowy,Wybierz m¹drze.,"Statystyki pokazuj¹, ¿e dzieci równie¿ s¹ nara¿one na powa¿ny przebieg COVID-19.",Szczepienia minimalizuj¹ to ryzyko.,,,,,,
równoleg³y,"Nie ryzykuj przechorowaniem, zaszczep siê.",Szczepienia s¹ bezpieczne,[szczepienia] zmniejszaj¹ ryzyko hospitalizacji i zgonu z powodu COVID-19,,,,,,
szeregowy,Szczepimy siê!,Tylko zaszczepienie wystarczaj¹cej liczby osób mo¿e ograniczyæ powa¿ne zachorowania i zgony. ,"Mo¿emy to osi¹gn¹æ tylko wtedy, gdy ka¿dy z nas bêdzie w pe³ni zaszczepiony.",,,,,,
równoleg³y,Nie bój siê szczepiæ!,Choroba boli o wiele mocniej.,"Pamiêtaj, dziêki szczepieniu chronisz siebie i swoich najbli¿szych.",,,,,,
równoleg³y,"NIE BÓJ SIÊ, ZASZCZEP SIÊ !",Ka¿dy z nas mo¿e zatrzymaæ pandemiê.,"Przyjêcie szczepionki to nie tylko ochrona nas samych to tak¿e ochrona rodziców, dziadków, dzieci i przyjació³.",,,,,,
równoleg³y,Nie bójmy siê szczepionek przeciw COVID-19,"Jedyne, przed czym powinniœmy dr¿eæ, to fakt, ¿e bêd¹c niezaszczepionym, nara¿amy siê na ryzyko zaka¿enia albo, ¿e przy³o¿ymy rêkê do œmierci niezaszczepionej osoby, któr¹ zarazimy ",Przeciwwskazañ do szczepienia naprawdê jest bardzo niewiele.,"W samej tylko Polsce szczepionki przeciw COVID-19 otrzyma³y miliony ludzi, którzy ciesz¹ siê zdrowiem.",,,,,
równoleg³y,"Szczepienie ³agodzi przebieg choroby, wiêc warto siê zaszczepiæ.",Zaszczepiona bratowa z bratem przeszli kovida lekko parê dni.,Niezaszczepiona córka ju¿ trzeci tydzieñ ciê¿ko choruje.,,,,,,
szeregowy,Szczepienie jest bezpieczne i ³agodzi przebieg choroby.,Zdrowi ludzie nie odczuwaj¹ skutków ubocznych szczepienia.,"Szczepienie nie chroni przed zachorowaniem, ale bardzo du¿o pomaga.","Ludzie, którzy Ÿle znosz¹ szczepienie mielu ju¿ wczeœniej coœ nie tak z uk³adem odpornoœciowym.",,,,,
równoleg³y,Zaszczepcie siê,Po przyjêciu szczepionki zachorowanie na COVID-19 przebiega zdecydowanie ³agodniej,Szczepionka chroni przed zgonem,,,,,,
szeregowy,Szczepcie siê!,Przyjêcie szczepionki bêdzie oznaczaæ wiêksz¹ swobodê w Polsce i za granic¹,Szczepienia zwiêkszaj¹ szansê na choæby czêœciowe z³agodzenie niekiedy doœæ uci¹¿liwych œrodków ostro¿noœci,"Dodatkowo osoby, które przyjm¹ szczepionkê, bêd¹ mog³y bez obaw o swoje zdrowie poruszaæ siê nie tylko po zak³adzie pracy, ale i poza nim - w œrodkach komunikacji miejskiej, placówkach publicznych czy odwiedzaj¹c rodzinê i znajomych",,,,,
równoleg³y,Zaszczep swoje dziecko przeciw COVID-19,"Pozwoli to ustabilizowaæ pracê szkó³, ¿ycie rodzinne",Ka¿da kolejna zaszczepiona osoba w populacji przyspiesza jednak koniec tej pandemii,Szczepionka ochroni dzieci przed hospitalizacj¹ z powodu zaka¿enia wirusem SARS-COV-2,,,,,
szeregowy,Szczepmy siê,Szczepionka daje nam mo¿liwoœæ pokonania koronawirusa poprzez przerwanie jego transmisji z cz³owieka na cz³owieka.,"Ka¿da osoba, która siê zaszczepi, ma szansê przerwaæ ³añcuch zaka¿eñ.","Nasze zaszczepienie siê, to nie tylko ochrona dla nas. To tak¿e ochrona naszych rodziców, dziadków, dzieci i przyjació³.",,,,,
równoleg³y,Szczepmy siê,Po zaszczepieniu ryzyko transmisji koronawirusa jest zmarginalizowane.,W obecnej sytuacji pandemicznej kluczowa jest m. in. wysoka skutecznoœæ ochrony przed ciê¿kimi objawami koronawirusa.,,,,,,
równoleg³y,Szczepmy siê,Szczepienia przeciwko Covid 19 znacznie zmniejszaj¹ ryzyko ciê¿kiego przebiegu.,Przyjêcie co najmniej II dawek szczepionki redukuje ryzyko wystêpowania d³ugotrwa³ych skutków,,,,,,
szeregowy,Przyjmij trzeci¹ dawkê,Badania potwierdzaj¹ skuteczn¹ ochronê szczepionek,Przyjêcie dawki przypominaj¹cej szczepionki Novavax ok. 6 miesiêcy po przyjêciu schematu dwudawkowego spowodowa³o wzmocnion¹ odpowiedŸ immunologiczn¹ (tak¿e wobec wariantu Delta i Omikron),,,,,,
szeregowy,Zaszczep swoje dzieci!,Szczepienia dzieci zmniejszaj¹ ryzyko ciê¿kiego covid 19 i zgonu,Badania potwierdzi³y skutecznoœæ i bezpieczeñstwo szczepionek,,,,,,
szeregowy,"Wybierz m¹drze, zaszczep siê",Osoby niezaszczepione by³y 10x czêœciej hospitalizowane z powodu COVID-19 ni¿ osoby zaszczepione. ,Szczepienie minimalizuje ryzyko hospitalizacji i zgonu przeciwko COVID-19.,,,,,,
równoleg³y,Zaszczep siê,Szczepienie przeciw COVID-19 redukuje ryzyko ciê¿kiego przebegu choroby.,Szczepienie przeciw COVID-19 redukuje ryzyko ciê¿kich powik³añ. ,,,,,,
równoleg³y,Warto siê szczepiæ,Z bardzo du¿ym prawdopodobieñstwem - siêgaj¹cym nawet 95% - szczepienie urchoni ciê przed zaka¿eniem COVID-19,"Im wiêcej bêdzie zaszczepionych osób, tym szybciej osi¹gniemy odpornoœæ populacyjn¹","Szczepi¹c siê, zyskasz wewnêtrzny spokój, wynikaj¹cy z bezpieczeñstwa w³asnego i najbli¿szych.",Szczepionki s¹ bezpieczne.,"Szczepi¹c siê, przyczyniasz siê do szybszego znoszenia ograniczeñ i powrotu nas wszystkich do normalnego ¿ycia. ",,,
równoleg³y,Szczepionki przeciw COVID-19 s¹ rekomendowane dla osób w ci¹¿y,Wed³ug CDC osoby w ci¹¿y (nawet zdrowe) s¹ dwukrotnie bardziej nara¿one na ciê¿ki przebieg COVID-19,"Ostry, objawowy przebieg choroby mo¿e wywo³aæ komplikacje zwi¹zane z u³o¿eniem p³odu lub zbyt ma³¹ iloœci¹ p³ynu owodniowego, przyspieszyæ poród, a nawet zakoñczyæ siê poronieniem lub urodzeniem martwego dziecka. ","Przyjêcie szczepionki przeciw COVID-19 chroni nie tylko przysz³¹ matkê, ale i nowo narodzone dzecko. ",Mechanizm dzia³ania szczepionek przeciw COVID-19 nie wi¹¿e siê z du¿ym ryzykiem niepo¿¹danych zdarzeñ u p³odu lub zaszczepionej przysz³ej matki.,,,,
szeregowy,patriotycznie jest siê szczepiæ,Je¿eli tylko w zesz³ym roku zmar³o ponad pó³ miliona Polaków,a liczba ofiar samego covid przekroczy³a ju¿ 100 tys.,i jednoczeœnie mamy jeden z najni¿szych przyrostów naturalnych w Europie,"to trzeba u¿yæ argumentu: nie szczepisz siê, wyludniasz Polskê",,,,
szeregowy,zaszczep siê,Wci¹¿ za ma³o z nas siê zaszczepi³o,a ponad 99% zgonów na koronawirusa to osoby niezaszczepione,,,,,,
równoleg³y,Z tego punktu widzenia ka¿da zaszczepiona osoba jest na wagê z³ota.,"Koronawirusa najprawdopodobniej nie uda siê zupe³nie eradykowaæ (tak jak eradykowano np. ospê prawdziw¹), chocia¿by dlatego, ¿e infekuje on nie tylko ludzi, ale i zwierzêta. ","Jeœli rezerwuarem wirusa mo¿e byæ inny ni¿ cz³owiek gatunek, to eradykacja staje siê w praktyce niemo¿liwa","Tym, co chcemy osi¹gn¹æ jest spowolnienie i ograniczenie transmisji wirusa.",,,,,
szeregowy,zaszczepiê sie na covid-19,"sama odpowiedŸ uk³adu odpornoœci u ozdrowieñców jest istotnie zwi¹zana z przebiegiem klinicznym – na ogó³ najwy¿szy poziom przeciwcia³ notuje siê u osób, które przesz³y ciê¿ki stan choroby.","Podanie szczepionki powoduje natomiast relatywnie równomiern¹, siln¹ odpowiedŸ ze strony uk³adu immunologicznego, niekiedy silniejsz¹ ni¿ u ozdrowieñców.","Istnieje wiêc szansa, ¿e zaszczepienie bêdzie chroni³o przed COVID-19 d³u¿ej ni¿ przechorowanie.",,,,,
szeregowy,Szczepmy siê!,"WHO potwierdza czwart¹ falê i dodaje, ¿e Europa znów bêdzie epicentrum œwiatowych zaka¿eñ.",Jeœli nie poprawi siê liczba ludzi zaszczepionych — czeka nas 500tys. zgonów tej zimy!,,,,,,
szeregowy,Nie zwlekaj! Zaszczep siê.,Walka z epidemi¹ trwa.,Najwiêksz¹ nadziej¹ w walce z koronawirusem i bezpiecznym sposobem powrotu do tak zwanej normalnoœci jest zaszczepienie jak najwiêkszej liczby obywateli.,Tak¹ tezê potwierdzaj¹ lekarze.,,,,,
równoleg³y,Zaszczepmy siê!,"Do dzisiaj nie zosta³o wynalezione lekarstwo na COVID-19, a jedynym wyjœciem z tej sytuacji jest osi¹gniêcie odpornoœci populacyjnej oraz szybkie przerwanie transmisji wirusa. Mo¿emy tego dokonaæ jedynie poprzez szczepienie jak najwiêkszej liczby osób","Jak zapewniaj¹ specjaliœci, korzyœci ze szczepieñ wielokrotnie przewy¿szaj¹ ryzyko","Teraz mo¿emy sprawiæ, ¿e œwiat stanie siê wolny od zgonów powodowanych koronawirusem SARS CoV-2, a rzeczywistoœæ powróci do normalnoœci.",,,,,
równoleg³y,zaszczepmy siê!,"zw³aszcza dla osób starszych kontakt z osob¹ niezaszczepion¹, która choruje bezobjawowo mo¿e i jest œmiertelnym zagro¿eniem.","Zaszczepienie siê, to nie tylko odpowiedzialnoœæ za siebie, ale tak¿e za tych wszystkich, z którymi siê spotykamy.",,,,,,
równoleg³y,Idz?cie sie? szczepic?,"Im wie?cej oso?b sie? zaszczepi, tym mniej be?dzie roznosi³ sie? wirus","Im mniej sie? roznosi, tym mniej mutuje",Generalnie szczepionki sa? spoko,Wie?cej z³ego moz?e sie? Wam stac? od nie zaszczepienia sie? (i Waszym bliskim) niz? od zaszczepienie sie?,,,,
równoleg³y,Do³¹cz do milionów ludzi i zaszczep siê.,"Aby pomóc chroniæ najm³odszych, osoby w wieku produkcyjnym oraz starszych cz³onków naszych spo³ecznoœci","aby pomóc nam iœæ do przodu, odrobiæ straty i móc znowu spotykaæ siê bezpiecznie",,,,,,
równoleg³y,IdŸciê siê zaszczepiæ!,¯ebyœcie usiedli na tej widowni,(po œl¹sku) ¯ebyœcie mogli ogl¹daæ to co jo mom do was przygotowane,,,,,,
równoleg³y,Musimy siê zaszczepiæ!,¯eby z tego badziewia wyjœæ,¯eby wróciæ do normalnoœci,¯eby zacz¹æ chodziæ na imprezy,¯eby zacz¹æ uprawiaæ sport,,,,
szeregowy,"Uspokojeni? To hop, hop, zapisujemy siê na szczepienie tu: https://szczepimysie.pacjent.gov.pl",z jednej strony mamy ból g³owy (...),"z drugiej [strony] gwarancjê nie zachorowania (i unikniêcia mo¿liwych ciê¿kich powik³añ, np. neurologicznych czy kardiologicznych) i nie umarcia","myœlê, ¿e to drugie jest jednak trochê wa¿niejsze, i bardziej priorytetowe.",,,,,
szeregowy,Szczepmy siê,"Czy osoby zaszczepione choruj¹? Tak. Ale rzadziej, ³agodniej, z mniejszym ryzykiem zgonu. ","Dziœ, w drugim roku pandemii koronawirusa, przekroczyliœmy w Polsce granicê 100 000* ¿yæ, z czego czêœæ mo¿na by³o uratowaæ",,,,,,
równoleg³y,Szczepmy siê!,"Osoby nieszczepione by³y oko³o cztery i pó³ razy bardziej nara¿one na COVID-19 i ponad 10 razy czêœciej hospitalizowane. A¿ 11 razy bardziej prawdopodobne jest, ¿e umr¹ z powodu tej choroby",Ewentualne konsekwencje szczepienia s¹ zdecydowanie ³agodniejsze ni¿ konsekwencje nieszczepienia.,"Pamiêtajmy, ¿e pracujemy z pacjentami, za których jesteœmy odpowiedzialni.",,,,,
równoleg³y,Szczepmy siê,"To najprawdopodobniej jedyna droga, by nie dopad³a nas kolejna fala pandemii ",i abyœmy wrócili do nauczania stacjonarnego,,,,,,
szeregowy,#SzczepimySiê,"Badania Europejskiej Agencji Leków potwierdzi³y, ¿e zasadne jest, aby szczepiæ równie¿ dzieci","powik³ania (np. zapalenie p³uc, niedotlenienie) wystêpuj¹ u nich czêœciej ni¿ z powodu grypy sezonowej.",,,,,,
równoleg³y,#SzczepimySiê,Nie bagatelizujmy œmiertelnego wirusa jakim jest #Covid_19,Codziennie na œwiecie z powodu zaka¿enia C-19 umieraj¹ tysi¹ce ludzi,Tylko szczepienia chroni¹  nas przed ciê¿kim przebiegiem choroby i zgonami.,,,,,
równoleg³y,"Nie ryzykuj, #ZaszczepSiê ",Na przestrzeni lat szczepienia uratowa³y ¿ycie milionom ludzi na ca³ym œwiecie.,Pandemia COVID-19 przypomnia³a nam jak wa¿na jest ochrona przed groŸnymi chorobami zakaŸnymi.,,,,,,
,Zarejestruj siê na szczepienie,"Dane epidemiologiczne potwierdzaj¹, ¿e liczba zaka¿eñ i hospitalizacji dzieci w wieku 5-11 lat w ostatnich miesi¹cach wzros³a",COVID-19 to zagro¿enie dla dzieci i m³odzie¿y. ,"W tej grupie osób COVID-19, czêœciej ni¿ grypa sezonowa, powoduje powik³ania takie jak zapalenie p³uc czy niedotlenienie. ",,,,,
równoleg³y,Szczepmy siebie i swoje dzieci,Kolejne warianty [wirusa] s¹ coraz groŸniejsze dla naszych pociech,Korzyœci [z zaszczepienia siê] s¹ zdecydowanie wiêksze niz ryzyka,,,,,,
szeregowy,#Szczepimysiê,"Pokonanie pandemii COVID-19 i powrót do normalnoœci s¹ mo¿liwe, gdy przerwiemy ³añcuch zaka¿eñ.","Aby efekty by³y jak najlepsze i jak najszybsze, wszyscy musimy byæ solidarni.",Ka¿dy z nas mo¿e zatrzymaæ pandemiê.,"Przyjêcie szczepionki to nie tylko ochrona nas samych - to tak¿e ochrona naszych rodziców, dziadków, dzieci i przyjació³.",,,,
